College,Degree,Regulation,Branch,Specialization,Semester,Subject Code,Subject Name,Subject Type,Credits,Theory/Lab,Is Compulsory,Is Elective,Elective Group,Credit Source,Credit Status,Verification Status,Source URL,Source Document,Notes
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23BS101,Linear Algebra & Calculus,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS101-LINEAR ALGEBRA & CALCULUS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23BS104,Applied Chemistry,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS104-APPLIED CHEMISTRY.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23HS101,Communicative English,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23HS101-COMMUNICATIVE ENGLISH.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23ES104,Basic Electrical & Electronics Engineering,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES104-BEEE.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23ES103,Introduction to Programming,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES103-INTRODUCTION TO PROGRAMMING.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23ES203,Computer Programming Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES203-C PROGRAMMING LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23BS202,Applied Chemistry Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS202-APPLIED CHEMISTRY LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23ES204,Electrical & Electronics Engineering Workshop,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES204-EEE-WS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23ES202,IT Workshop,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES202- IT WORKSHOP LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,1,23HS02,NSS/NCC/Scouts & Guides/Community Service,SKILL_COURSE,0.5,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23HS02-NCC-NSS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23BS102,Differential Equations & Vector Calculus,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS102-DIFFERENTIAL EQUATIONS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23BS103,Engineering Physics,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS103-ENGINEERING PHYSICS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,2305101,Data Structures,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305101-DATA STRUCTURES.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23ES101,Basic Civil & Mechanical Engineering,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES101-BCME.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23ES102,Engineering Graphics,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES102-ENGINEERING GRAPHICS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23HS201,Communicative English Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23HS201-COMMUNICATIVE ENGLISH LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23BS201,Engineering Physics Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS201-ENGINEERING PHYSICS LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23ES201,Engineering Workshop,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES201-ENGG WORKSHOP.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,2305201,Data Structures Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305201-DATA STRUCTURES LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,2,23HS01,"Health and Wellness, Yoga & Sports",SKILL_COURSE,0.5,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23HS01-HEALTH-WELLNESS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,23BS110,Discrete Mathematics & Graph Theory,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS110-DISCRETE MATHEMATICS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,23BS115,Universal Human Values - Understanding Harmony,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS115-UHV.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,23ES111,Digital Logic & Computer Organization,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES111-Digital Logic.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,2305102,Advanced Data Structures & Algorithm Analysis,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305102-ADS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,2305103,Object Oriented Programming through Java,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305103-JAVA.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,23ES209,FOSS Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23ES209-FOSS Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,2305202,Advanced Data Structures Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305202-ADS Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,2305203,Java Programming Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305203-Java Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,3,2305501,Python Programming (EDx),SKILL_COURSE,2.0,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305501-Python Programming.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,23HM101,Managerial Economics & Financial Accountancy,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23HM101-MEFA.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,23BS112,Probability & Statistics,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23BS112-PROBABILITY.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305104,Theory of Computation,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305104-TOC.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305105,Database Management Systems,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305105-DBMS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305106,Operating Systems,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305106-OS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305204,R Programming Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305204-R.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305205,Database Management Systems Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305205-DBMS Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305206,Operating Systems Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305206-OS Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,2305502,Applications of Python - NumPy & Pandas (EDx),SKILL_COURSE,2.0,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,2305502-Python Pandas.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,20ES205,Design Thinking & Innovation,COMPULSORY_THEORY,1.5,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,20ES205-Design Thinking.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,4,23MC601,Environmental Science,AUDIT_COURSE,0.0,Audit,False,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,23MC601-Environmental.pdf,Zero credit mandatory audit course
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305107,Compiler Design,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-Compiler-Design.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305108,Computer Networks,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-Computer-Networks.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305109,Distributed Computing,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-DISTRIBUTED-COMPUTING.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305207,Compiler Design Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-COMPILER-DESIGN-LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305208,Computer Networks Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-COMPUTER-NETWORKS-LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305503,AWS Cloud Practitioner / Full Stack Web Dev-I,SKILL_COURSE,2.0,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-AWS-CLOUD-PRACTIONER-LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,23ES206,Tinkering Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-Tinkering-Lab.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305301,Software Engineering,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective I,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-Software-Engineering.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305302,Advanced Operating Systems,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective I,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-ADVANCED-OPERATING-SYSTEMS.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305303,Artificial Intelligence,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective I,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-ARTIFICIAL-INTELLIGENCE.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305304,Object Oriented Analysis & Design,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective I,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-OOAD.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,5,2305305,Human Computer Interaction,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective I,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,AR23-HCI.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305110,Cloud Computing,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,Cloud-Computing.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305111,Machine Learning,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,MACHINE-LEARNING.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305112,Cryptography & Network Security,COMPULSORY_THEORY,3.0,Theory,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,CRYPTOGRAPHY-NETWORK-SECURITY.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305209,Machine Learning Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,MACHINE-LEARNING-LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305210,Cryptography & Network Security Lab,COMPULSORY_LAB,1.5,Lab,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,CRYPTOGRAPHY-LAB.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305504,Full Stack Web Development - II,SKILL_COURSE,2.0,Skill,True,False,,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,FullStack-II.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305306,Web Services,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective II,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,Web-Services.pdf,
Raghu Engineering College,B.Tech,AR23,CSE,Core Computer Science,6,2305307,Internet of Things,PROFESSIONAL_ELECTIVE,3.0,Theory,False,True,Professional Elective II,official_course_structure,confirmed,official_verified,https://www.raghuenggcollege.com/cse-dept/cse-course-structure/,Internet-of-Things.pdf,
