enrollment_id,student_id,course_id,marks_obtained,grade,grade_point,attendance_percentage,semester,academic_year
1,STU2024CS0001,CRS_CS101,79.5,A,8.0,87.4,1,2021-2022
2,STU2024CS0001,CRS_CS102,72.5,A,8.0,85.2,1,2021-2022
3,STU2024CS0001,CRS_CS103,71.4,A,8.0,76.0,1,2021-2022
4,STU2024CS0001,CRS_CS104,71.4,A,8.0,89.7,1,2021-2022
5,STU2024CS0001,CRS_CS105,91.4,O,10.0,75.3,1,2021-2022
6,STU2024CS0001,CRS_CS201,82.4,A+,9.0,91.5,2,2021-2022
7,STU2024CS0001,CRS_CS202,68.8,B+,7.0,78.1,2,2021-2022
8,STU2024CS0001,CRS_CS203,80.0,A+,9.0,78.1,2,2021-2022
9,STU2024CS0001,CRS_CS204,76.7,A,8.0,82.3,2,2021-2022
10,STU2024CS0001,CRS_CS205,53.0,B,6.0,80.0,2,2021-2022
11,STU2024CS0001,CRS_CS301,62.9,B+,7.0,80.0,3,2022-2023
12,STU2024CS0001,CRS_CS302,77.5,A,8.0,81.2,3,2022-2023
13,STU2024CS0001,CRS_CS303,90.1,O,10.0,78.4,3,2022-2023
14,STU2024CS0001,CRS_CS304,71.5,A,8.0,83.7,3,2022-2023
15,STU2024CS0001,CRS_CS305,68.0,B+,7.0,85.3,3,2022-2023
16,STU2024CS0001,CRS_CS401,75.2,A,8.0,77.9,4,2022-2023
17,STU2024CS0001,CRS_CS402,67.4,B+,7.0,86.6,4,2022-2023
18,STU2024CS0001,CRS_CS403,70.8,A,8.0,82.5,4,2022-2023
19,STU2024CS0001,CRS_CS404,73.9,A,8.0,75.6,4,2022-2023
20,STU2024CS0001,CRS_CS405,62.4,B+,7.0,90.5,4,2022-2023
21,STU2024CS0001,CRS_CS501,83.0,A+,9.0,80.3,5,2023-2024
22,STU2024CS0001,CRS_CS502,60.6,B+,7.0,83.8,5,2023-2024
23,STU2024CS0001,CRS_CS503,59.4,B,6.0,91.5,5,2023-2024
24,STU2024CS0001,CRS_CS504,76.2,A,8.0,88.2,5,2023-2024
25,STU2024CS0001,CRS_CS505,82.1,A+,9.0,76.5,5,2023-2024
26,STU2024CS0001,CRS_CS601,75.9,A,8.0,78.3,6,2023-2024
27,STU2024CS0001,CRS_CS602,72.7,A,8.0,81.6,6,2023-2024
28,STU2024CS0001,CRS_CS603,70.7,A,8.0,79.6,6,2023-2024
29,STU2024CS0001,CRS_CS604,68.9,B+,7.0,79.8,6,2023-2024
30,STU2024CS0001,CRS_CS605,85.6,A+,9.0,84.2,6,2023-2024
31,STU2024CS0001,CRS_CS701,77.6,A,8.0,76.3,7,2024-2025
32,STU2024CS0001,CRS_CS702,69.8,B+,7.0,91.8,7,2024-2025
33,STU2024CS0001,CRS_CS703,66.6,B+,7.0,75.1,7,2024-2025
34,STU2024CS0001,CRS_CS704,80.7,A+,9.0,88.9,7,2024-2025
35,STU2024CS0001,CRS_CS801,85.3,A+,9.0,88.1,8,2024-2025
36,STU2024CS0001,CRS_CS802,84.2,A+,9.0,76.3,8,2024-2025
37,STU2024CS0001,CRS_CS803,64.8,B+,7.0,89.7,8,2024-2025
